pointsbanktransactiontype,currentsourcecode,Source Hotel,hotelcode,Destination Hotel,Distinct count of confirmationnumber,bookingvalueusd
Paid Reservation,SBE1436,Asia Gardens Hotel & Thai Spa,LW1449,Abadía Retuerta LeDomaine,1,1597
Paid Reservation,SBE1449,Abadía Retuerta LeDomaine,LW1449,Abadía Retuerta LeDomaine,47,66668
Paid Reservation,SBE1936,Rock House Resort,LW1449,Abadía Retuerta LeDomaine,1,1399
Paid Reservation,SBE3055,The Grand Mark Prague,LW1449,Abadía Retuerta LeDomaine,1,2259
Paid Reservation,SBE0103,Hotel Sacher Salzburg,LW2710,Acqualina Resort & Residences on the Beach,1,3400
Paid Reservation,SBE1741,The Hay-Adams,LW2710,Acqualina Resort & Residences on the Beach,1,1782
Paid Reservation,SBE1765,Lowell Hotel,LW2710,Acqualina Resort & Residences on the Beach,2,27556
Paid Reservation,SBE1776,The Rittenhouse,LW2710,Acqualina Resort & Residences on the Beach,1,7242
Paid Reservation,SBE1924,Grace Bay Club,LW2710,Acqualina Resort & Residences on the Beach,1,6390
Paid Reservation,SBE1935,Wymara Resort and Villas,LW2710,Acqualina Resort & Residences on the Beach,1,5540
Paid Reservation,SBE2701,"The Setai, Miami Beach",LW2710,Acqualina Resort & Residences on the Beach,1,7950
Paid Reservation,SBE2710,Acqualina Resort & Residences on the Beach,LW2710,Acqualina Resort & Residences on the Beach,146,702493
Paid Reservation,SBE2750,Mr. C Beverly Hills,LW2710,Acqualina Resort & Residences on the Beach,1,3288
Paid Reservation,SBE7556,Nayara Tented Camp,LW2710,Acqualina Resort & Residences on the Beach,1,1000
Paid Reservation,SBE0108,Hotel Sacher Wien,LW0646,"Airelles Gordes, La Bastide",3,4201
Paid Reservation,SBE0103,Hotel Sacher Salzburg,LW0113,Alpin Resort Sacher Seefeld – Tirol,3,5786
Paid Reservation,SBE0108,Hotel Sacher Wien,LW0113,Alpin Resort Sacher Seefeld – Tirol,8,21173
Paid Reservation,SBE0113,Alpin Resort Sacher Seefeld – Tirol,LW0113,Alpin Resort Sacher Seefeld – Tirol,14,30518
Paid Reservation,SBE0205,Botanic Sanctuary Antwerp,LW0113,Alpin Resort Sacher Seefeld – Tirol,1,2224
Paid Reservation,SBE0902,Hotel Okura Amsterdam,LW0113,Alpin Resort Sacher Seefeld – Tirol,1,630
Paid Reservation,SBE1626,Baur au Lac,LW0113,Alpin Resort Sacher Seefeld – Tirol,1,943
Paid Reservation,SBE2713,The Kahala Hotel & Resort,LW0113,Alpin Resort Sacher Seefeld – Tirol,1,764
Paid Reservation,SBE0205,Botanic Sanctuary Antwerp,LW2184,Alpina Dolomites,1,1813
Paid Reservation,SBE2184,Alpina Dolomites,LW2184,Alpina Dolomites,23,56873
Paid Reservation,SBE0103,Hotel Sacher Salzburg,LW0727,Althoff Hotel am Schlossgarten,1,359
Paid Reservation,SBE0108,Hotel Sacher Wien,LW0729,Althoff Seehotel Ueberfahrt,1,561
Paid Reservation,SBE0703,Excelsior Hotel Ernst,LW0729,Althoff Seehotel Ueberfahrt,1,1739
Paid Reservation,SBE1601,Grand Resort Bad Ragaz,LW0729,Althoff Seehotel Ueberfahrt,1,613
Paid Reservation,SBE2713,The Kahala Hotel & Resort,LW0729,Althoff Seehotel Ueberfahrt,1,626
Paid Reservation,SBE2860,Emerald Maldives Resort & Spa,LW0729,Althoff Seehotel Ueberfahrt,1,1732
Paid Reservation,SBE0103,Hotel Sacher Salzburg,LW7010,Alvear Palace Hotel,2,1615
Paid Reservation,SBE7010,Alvear Palace Hotel,LW7010,Alvear Palace Hotel,44,70235
Paid Reservation,SBE7042,Arakur Ushuaia Resort & Spa,LW7010,Alvear Palace Hotel,1,1380
Paid Reservation,SBE7065,"The Singular Santiago, Lastarria Hotel",LW7010,Alvear Palace Hotel,1,952
Paid Reservation,SBE0250,Le Royal Hotels & Resorts,LW0850,Amathus Beach Hotel Limassol,1,2002
Paid Reservation,SBE0850,Amathus Beach Hotel Limassol,LW0850,Amathus Beach Hotel Limassol,20,34726
Paid Reservation,SBE2186,Villa Cora,LW0850,Amathus Beach Hotel Limassol,1,1199
Paid Reservation,SBE6078,Emerald Zanzibar Resort & Spa,LW0850,Amathus Beach Hotel Limassol,1,2774
Paid Reservation,SBE1602,Grand Hotel Les Trois Rois,LW2772,Ambiente A Landscape Hotel,1,1398
Paid Reservation,SBE0103,Hotel Sacher Salzburg,LW9504,Anantara New York Palace Budapest,1,957
Paid Reservation,SBE0108,Hotel Sacher Wien,LW9504,Anantara New York Palace Budapest,3,2331
Paid Reservation,SBE0351,Hotel Kämp,LW9504,Anantara New York Palace Budapest,1,987
Paid Reservation,SBE0722,Colombi Hotel,LW9504,Anantara New York Palace Budapest,1,1138
Paid Reservation,SBE1502,Grand Hotel Stockholm,LW9504,Anantara New York Palace Budapest,1,656
Paid Reservation,SBE1819,Rayavadee,LW9504,Anantara New York Palace Budapest,1,1607
Paid Reservation,SBE1924,Grace Bay Club,LW9504,Anantara New York Palace Budapest,1,2322
Paid Reservation,SBE2184,Alpina Dolomites,LW9504,Anantara New York Palace Budapest,1,356
Paid Reservation,SBE2186,Villa Cora,LW9504,Anantara New York Palace Budapest,2,2683
Paid Reservation,SBE3055,The Grand Mark Prague,LW9504,Anantara New York Palace Budapest,1,721
Paid Reservation,SBE9508,Kozmo Hotel Suites & Spa,LW9504,Anantara New York Palace Budapest,1,1193
Paid Reservation,SBE1409,Marbella Club Hotel Golf Resort & Spa,LW2212,Anantara Palazzo Naiadi Rome,1,732
Paid Reservation,SBE1422,Bahia del Duque,LW2212,Anantara Palazzo Naiadi Rome,1,4453
Paid Reservation,SBE1616,Suvretta House,LW2212,Anantara Palazzo Naiadi Rome,1,4400
Paid Reservation,SBE1622,Lausanne Palace,LW2212,Anantara Palazzo Naiadi Rome,1,2001
Paid Reservation,SBE0609,Hotel Royal - Evian Resort,LW0665,Anantara Plaza Nice Hotel,2,850
Paid Reservation,SBE0652,Villa Maia,LW0665,Anantara Plaza Nice Hotel,1,1026
Paid Reservation,SBE0825,Lesante Cape Resort & Villas,LW0665,Anantara Plaza Nice Hotel,1,3143
Paid Reservation,SBE0902,Hotel Okura Amsterdam,LW0665,Anantara Plaza Nice Hotel,1,810
Paid Reservation,SBE1450,Cap Vermell Grand Hotel,LW0665,Anantara Plaza Nice Hotel,1,612
Paid Reservation,SBE1613,Badrutt's Palace Hotel,LW0665,Anantara Plaza Nice Hotel,2,5602
Paid Reservation,SBE2112,Villa d'Este,LW0665,Anantara Plaza Nice Hotel,1,2026
Paid Reservation,SBE0108,Hotel Sacher Wien,LW0556,Anantara The Marker Dublin Hotel,1,1358
Paid Reservation,SBE0205,Botanic Sanctuary Antwerp,LW0556,Anantara The Marker Dublin Hotel,2,1338
Paid Reservation,SBE0850,Amathus Beach Hotel Limassol,LW0556,Anantara The Marker Dublin Hotel,1,1172
Paid Reservation,SBE0902,Hotel Okura Amsterdam,LW0556,Anantara The Marker Dublin Hotel,1,303
Paid Reservation,SBE1306,Vila Vita Parc,LW0556,Anantara The Marker Dublin Hotel,1,359
Paid Reservation,SBE1409,Marbella Club Hotel Golf Resort & Spa,LW0556,Anantara The Marker Dublin Hotel,1,952
Paid Reservation,SBE1410,Hotel Puente Romano Beach Resort,LW0556,Anantara The Marker Dublin Hotel,1,1341
Paid Reservation,SBE1418,Seaside Grand Hotel Residencia,LW0556,Anantara The Marker Dublin Hotel,1,447
Paid Reservation,SBE1450,Cap Vermell Grand Hotel,LW0556,Anantara The Marker Dublin Hotel,1,228
Paid Reservation,SBE1741,The Hay-Adams,LW0556,Anantara The Marker Dublin Hotel,3,3320
Paid Reservation,SBE2206,Relais San Maurizio,LW0556,Anantara The Marker Dublin Hotel,2,731
Paid Reservation,SBE3650,Grand Palace Hotel,LW0556,Anantara The Marker Dublin Hotel,1,436
Paid Reservation,SBE6003,La Mamounia,LW0556,Anantara The Marker Dublin Hotel,1,322
Paid Reservation,SBE0205,Botanic Sanctuary Antwerp,LW1426,Anantara Villa Padierna Palace,3,2929
Paid Reservation,SBE1409,Marbella Club Hotel Golf Resort & Spa,LW1426,Anantara Villa Padierna Palace,5,7720
Paid Reservation,SBE1601,Grand Resort Bad Ragaz,LW1426,Anantara Villa Padierna Palace,2,4465
